record_id,member_ids,member_names,record_type,title,date,date_display,year,venue,location,role,authors,citation,doi,url,pubmed_id,abstract_or_description,image,visibility,featured,source_file,permalink,notes_private
pub_2023-feb-6-liu-l-nat-commun-2023,rachel_knevel,Rachel Knevel,publication,"Author Correction: Genetic regulation of serum IgA levels and susceptibility to common immune, infectious, kidney, and cardio-metabolic traits",2023 Feb 6,2023 Feb 6,2023,Nat Commun,,author,,"Liu L, Khan A, Sanchez-Rodriguez E, Zanoni F, Li Y, Steers N, Balderes O, Zhang J, Krithivasan P, LeDesma RA, Fischman C, Hebbring SJ, Harley JB, Moncrieffe H, Kottyan LC, Namjou-Khales B, Walunas TL, Knevel R, Raychaudhuri S, Karlson EW, Denny JC, Stanaway IB, Crosslin D, Rauen T, Floege J, Eitner F, Moldoveanu Z, Reily C, Knoppova B, Hall S, Sheff JT, Julian BA, Wyatt RJ, Suzuki H, Xie J, Chen N, Zhou X, Zhang H, Hammarstr&ouml;m L, Viktorin A, Magnusson PKE, Shang N, Hripcsak G, Weng C, Rundek T, Elkind MSV, Oelsner EC, Barr RG, Ionita-Laza I, Novak J, Gharavi AG, Kiryluk K. (2023) &quot;Author Correction: Genetic regulation of serum IgA levels and susceptibility to common immune, infectious, kidney, and cardio-metabolic traits&quot; <i>Nat Commun. 2023 Feb 6;14(1):655. doi: 10.1038/s41467-023-36340-3.</i>",10.1038/s41467-023-36340-3,https://doi.org/10.1038/s41467-023-36340-3,,"Liu L(1), Khan A(1), Sanchez-Rodriguez E(1), Zanoni F(1), Li Y(1), Steers N(1), Balderes O(1), Zhang J(1), Krithivasan P(1), LeDesma RA(2), Fischman C(3), Hebbring SJ(4), Harley JB(5)(6)(7), Moncrieffe H(5)(6), Kottyan LC(5)(6), Namjou-Khales B(5)(6), Walunas TL(8), Knevel R(9), Raychaudhuri S(9), Karlson EW(9), Denny JC(10), Stanaway IB(11), Crosslin D(12), Rauen T(13), Floege J(13), Eitner F(13)(14), Moldoveanu Z(15), Reily C(15), Knoppova B(15), Hall S(15), Sheff JT(15), Julian BA(15), Wyatt RJ(16), Suzuki H(17), Xie J(18), Chen N(18), Zhou X(19), Zhang H(19), Hammarstr&ouml;m L(20), Viktorin A(21), Magnusson PKE(21), Shang N(22), Hripcsak G(22), Weng C(22), Rundek T(23)(24), Elkind MSV(25), Oelsner EC(1), Barr RG(26)(27), Ionita-Laza I(28), Novak J(15), Gharavi AG(1), Kiryluk K(29).",,public,,_publications/2023 Feb 6-Liu_L_Nat Commun_2023.md,/publication/2023 Feb 6-Liu_L_Nat Commun_2023,
pub_2023-feb-maurits-mp-arthritis-rheumatol-2023,rachel_knevel;marc_maurits,Rachel Knevel;Marc Maurits,publication,The Role of Genetics in Clinically Suspect Arthralgia and Rheumatoid Arthritis Development: A Large Cross-Sectional Study,2023-02,2023 Feb,2023,Arthritis Rheumatol,,author,,"Maurits MP, Wouters F, Niemantsverdriet E, Huizinga TWJ, van den Akker EB, Le Cessie S, van der Helm-van Mil AHM, Knevel R. (2023) &quot;The Role of Genetics in Clinically Suspect Arthralgia and Rheumatoid Arthritis Development: A Large Cross-Sectional Study&quot; <i>Arthritis Rheumatol. 2023 Feb;75(2):178-186. doi: 10.1002/art.42323. Epub 2022 Dec 13.</i>",10.1002/art.42323,https://doi.org/10.1002/art.42323,,"To investigate whether established genetic predictors for rheumatoid arthritis (RA) differentiate healthy controls, patients with clinically suspect arthralgia (CSA), and RA patients.",,public,,_publications/2023 Feb-Maurits_MP_Arthritis Rheumatol_2023.md,/publication/2023 Feb-Maurits_MP_Arthritis Rheumatol_2023,
pub_2023-mar-knevel-r-ann-rheum-dis-2023,rachel_knevel,Rachel Knevel,publication,From real-world electronic health record data to real-world results using artificial intelligence,2023-03,2023 Mar,2023,Ann Rheum Dis,,author,,"Knevel R, Liao KP. (2023) &quot;From real-world electronic health record data to real-world results using artificial intelligence&quot; <i>Ann Rheum Dis. 2023 Mar;82(3):306-311. doi: 10.1136/ard-2022-222626. Epub 2022 Sep 23.</i>",10.1136/ard-2022-222626,https://doi.org/10.1136/ard-2022-222626,,"With the worldwide digitalisation of medical records, electronic health records (EHRs) have become an increasingly important source of real-world data (RWD). RWD can complement traditional study designs because it captures almost the complete variety of patients, leading to more generalisable results. For rheumatology, these data are particularly interesting as our diseases are uncommon and often take years to develop. In this review, we discuss the following concepts related to the use of EHR for research and considerations for translation into clinical care: EHR data contain a broad collection of healthcare data covering the multitude of real-life patients and the healthcare processes related to their care. Machine learning (ML) is a powerful method that allows us to leverage a large amount of heterogeneous clinical data for clinical algorithms, but requires extensive training, testing, and validation. Patterns discovered in EHR data using ML are applicable to real life settings, however, are also prone to capturing the local EHR structure and limiting generalisability outside the EHR(s) from which they were developed. Population studies on EHR necessitates knowledge on the factors influencing the data available in the EHR to circumvent biases, for example, access to medical care, insurance status. In summary, EHR data represent a rapidly growing and key resource for real-world studies. However, transforming RWD EHR data for research and for real-world evidence using ML requires knowledge of the EHR system and their differences from existing observational data to ensure that studies incorporate rigorous methods that acknowledge or address factors such as access to care, noise in the data, missingness and indication bias.",,public,,_publications/2023 Mar-Knevel_R_Ann Rheum Dis_2023.md,/publication/2023 Mar-Knevel_R_Ann Rheum Dis_2023,
pub_2023-oct-leegwater-e-infect-dis-ther-2023,rachel_knevel,Rachel Knevel,publication,Rapid Response to Remdesivir in Hospitalised COVID-19 Patients: A Propensity Score Weighted Multicentre Cohort Study,2023-10,2023 Oct,2023,Infect Dis Ther,,author,,"Leegwater E, Dol L, Benard MR, Roelofsen EE, Delfos NM, van der Feltz M, Mollema FPN, Bosma LBE, Visser LE, Ottens TH, van Burgel ND, Arbous SM, El Bouazzaoui LH, Knevel R, Groenwold RHH, de Boer MGJ, Visser LG, Rosendaal FR, Wilms EB, van Nieuwkoop C. (2023) &quot;Rapid Response to Remdesivir in Hospitalised COVID-19 Patients: A Propensity Score Weighted Multicentre Cohort Study&quot; <i>Infect Dis Ther. 2023 Oct;12(10):2471-2484. doi: 10.1007/s40121-023-00874-2. Epub 2023 Oct 6.</i>",10.1007/s40121-023-00874-2,https://doi.org/10.1007/s40121-023-00874-2,,"Remdesivir is a registered treatment for hospitalised patients with COVID-19 that has moderate clinical effectiveness. Anecdotally, some patients' respiratory insufficiency seemed to recover particularly rapidly after initiation of remdesivir. In this study, we investigated if this rapid improvement was caused by remdesivir, and which patient characteristics might predict a rapid clinical improvement in response to remdesivir.",,public,,_publications/2023 Oct-Leegwater_E_Infect Dis Ther_2023.md,/publication/2023 Oct-Leegwater_E_Infect Dis Ther_2023,
pub_2024-feb-van-ouwerkerk-l-semin-arthritis-rheum-2024,rachel_knevel;tjardo_maarseveen,Rachel Knevel;Tjardo Maarseveen,publication,Is glucocorticoid bridging therapy associated with later use of glucocorticoids and biological DMARDs during the disease course of patients with rheumatoid arthritis in daily practice? A real-world data analysis,2024-02,2024 Feb,2024,Semin Arthritis Rheum,,author,,"van Ouwerkerk L, Bergstra SA, Maarseveen TD, Huizinga TWJ, Knevel R, Allaart CF. (2024) &quot;Is glucocorticoid bridging therapy associated with later use of glucocorticoids and biological DMARDs during the disease course of patients with rheumatoid arthritis in daily practice? A real-world data analysis&quot; <i>Semin Arthritis Rheum. 2024 Feb;64:152305. doi: 10.1016/j.semarthrit.2023.152305. Epub 2023 Nov 10.</i>",10.1016/j.semarthrit.2023.152305,https://doi.org/10.1016/j.semarthrit.2023.152305,,To evaluate if initially starting glucocorticoid (GC) bridging leads to a higher probability of long-term GC and biological (b)DMARD use in rheumatoid arthritis (RA)-patients.,,public,,_publications/2024 Feb-van_Ouwerkerk_L_Semin Arthritis Rheum_2024.md,/publication/2024 Feb-van_Ouwerkerk_L_Semin Arthritis Rheum_2024,
pub_2024-jan-van-leeuwen-jr-comput-biol-med-2024,rachel_knevel,Rachel Knevel,publication,Using an artificial intelligence tool incorporating natural language processing to identify patients with a diagnosis of ANCA-associated vasculitis in electronic health records,2024-01,2024 Jan,2024,Comput Biol Med,,author,,"van Leeuwen JR, Penne EL, Rabelink T, Knevel R, Teng YKO. (2024) &quot;Using an artificial intelligence tool incorporating natural language processing to identify patients with a diagnosis of ANCA-associated vasculitis in electronic health records&quot; <i>Comput Biol Med. 2024 Jan;168:107757. doi: 10.1016/j.compbiomed.2023.107757. Epub 2023 Nov 25.</i>",10.1016/j.compbiomed.2023.107757,https://doi.org/10.1016/j.compbiomed.2023.107757,,"Because anti-neutrophil cytoplasmatic antibody (ANCA)-associated vasculitis (AAV) is a rare, life-threatening, auto-immune disease, conducting research is difficult but essential. A long-lasting challenge is to identify rare AAV patients within the electronic-health-record (EHR)-system to facilitate real-world research. Artificial intelligence (AI)-search tools using natural language processing (NLP) for text-mining are increasingly postulated as a solution.",,public,,_publications/2024 Jan-van_Leeuwen_JR_Comput Biol Med_2024.md,/publication/2024 Jan-van_Leeuwen_JR_Comput Biol Med_2024,
pub_2024-jun-4-juge-pa-rheumatol-adv-pract-2024,rachel_knevel,Rachel Knevel,publication,RPA3-UMAD1 rs12702634 and rheumatoid arthritis-associated interstitial lung disease in European ancestry,2024 Jun 4,2024 Jun 4,2024,Rheumatol Adv Pract,,author,,"Juge PA, Sparks JA, Gazal S, Ebstein E, Borie R, Debray MP, Kannengiesser C, McDermott GC, Cui J, Hayashi K, Doyle TJ, van Moorsel CHM, van der Vis JJ, Grutters JC, Knevel R, Heckert SL, Vasarmidi E, Antoniou KM, van der Helm van Mil AHM, Boileau C, Crestani B, Dieud&eacute; P. (2024) &quot;RPA3-UMAD1 rs12702634 and rheumatoid arthritis-associated interstitial lung disease in European ancestry&quot; <i>Rheumatol Adv Pract. 2024 Jun 4;8(2):rkae059. doi: 10.1093/rap/rkae059. eCollection 2024.</i>",10.1093/rap/rkae059,https://doi.org/10.1093/rap/rkae059,,"Recently, a genome-wide association study identified an association between RA-associated interstitial lung disease (ILD) and RPA3-UMAD1 rs12702634 in the Japanese population, especially for patients with a usual interstitial pneumonia (UIP) pattern. We aimed to replicate this association in a European population and test for interaction with MUC5B rs35705950.",,public,,_publications/2024 Jun 4-Juge_PA_Rheumatol Adv Pract_2024.md,/publication/2024 Jun 4-Juge_PA_Rheumatol Adv Pract_2024,
pub_2024-may-vassy-jl-arthritis-rheumatol-2024,rachel_knevel,Rachel Knevel,publication,Finding the Right Fit for Genes in Rheumatology Clinical Care,2024-05,2024 May,2024,Arthritis Rheumatol,,author,,"Vassy JL, Knevel R, Liao KP. (2024) &quot;Finding the Right Fit for Genes in Rheumatology Clinical Care&quot; <i>Arthritis Rheumatol. 2024 May;76(5):675-676. doi: 10.1002/art.42769. Epub 2024 Jan 9.</i>",10.1002/art.42769,https://doi.org/10.1002/art.42769,,DOI: 10.1002/art.42769PMID: 38057135 [Indexed for MEDLINE],,public,,_publications/2024 May-Vassy_JL_Arthritis Rheumatol_2024.md,/publication/2024 May-Vassy_JL_Arthritis Rheumatol_2024,
pub_2025-apr-18-wagner-m-rheumatol-int-2025,rachel_knevel,Rachel Knevel,publication,The journey of patients with musculoskeletal complaints in Europe: a cross-sectional European survey,2025 Apr 18,2025 Apr 18,2025,Rheumatol Int,,author,,"Wagner M, Ot&oacute;n T, Muehlensiepen F, Stratingh K, Loza E, Knevel R, Carmona L. (2025) &quot;The journey of patients with musculoskeletal complaints in Europe: a cross-sectional European survey&quot; <i>Rheumatol Int. 2025 Apr 18;45(5):107. doi: 10.1007/s00296-025-05863-x.</i>",10.1007/s00296-025-05863-x,https://doi.org/10.1007/s00296-025-05863-x,,"Rheumatic and musculoskeletal diseases (RMDs) are highly prevalent and place a significant socioeconomic burden on healthcare systems. However, their diagnosis and management remain suboptimal. This study aimed to analyze healthcare-seeking behaviors, key touchpoints, access barriers, and diagnostic pathways for individuals experiencing initial or progressive symptoms of RMDs across European countries. Understanding these differences is crucial for improving early access to specialized care. A cross-sectional online survey was conducted with 141 participants from seven European countries, including 67 rheumatologists and 39 general practitioners (GPs). The survey assessed initial healthcare-seeking behaviors, delays in diagnosis, and perceived barriers to specialized rheumatology care. Descriptive and inferential statistical methods were used for data analysis. The survey indicated that individuals experiencing RMD symptoms primarily seek information through internet research and GP consultations. Despite their role as primary gatekeepers, GPs' knowledge of RMDs was generally perceived as moderate to low. Significant disparities in access to rheumatological diagnostics, time to diagnosis, and treatment, coupled with organizational barriers between primary and specialist care, were reported across most countries. Spanish participants reported the longest diagnostic delays, while Swedish respondents experienced the shortest. Additionally, access to sacroiliac MRI was limited in Hungary and Spain, whereas glucocorticoids were widely available across all countries according to the participants. The study also revealed that early arthritis clinics were most accessible in the UK from the participants' perspectives. Significant variations in healthcare access for patients with RMDs persist across Europe. Strategies to enhance early detection, including GP education and improved specialist accessibility, are essential to optimizing patient outcomes.",,public,,_publications/2025 Apr 18-Wagner_M_Rheumatol Int_2025.md,/publication/2025 Apr 18-Wagner_M_Rheumatol Int_2025,
pub_2025-aug-heckert-sl-semin-arthritis-rheum-2025,rachel_knevel;tjardo_maarseveen,Rachel Knevel;Tjardo Maarseveen,publication,Rheumatoid arthritis-associated interstitial lung disease in countries across the world,2025-08,2025 Aug,2025,Semin Arthritis Rheum,,author,,"Heckert SL, Maarseveen TD, Marges ER, Chopra A, Vega-Morales D, Toit RD, Winchow LL, Govind N, Toro-Guti&eacute;rrez CE, Knevel R, van der Helm-van Mil AH, Huizinga TW, Allaart CF, Bergstra SA. (2025) &quot;Rheumatoid arthritis-associated interstitial lung disease in countries across the world&quot; <i>Semin Arthritis Rheum. 2025 Aug;73:152719. doi: 10.1016/j.semarthrit.2025.152719. Epub 2025 Apr 12.</i>",10.1016/j.semarthrit.2025.152719,https://doi.org/10.1016/j.semarthrit.2025.152719,,"We aimed to describe the incidence of RA-ILD in various countries worldwide, and to explore its association with RA disease activity.",,public,,_publications/2025 Aug-Heckert_SL_Semin Arthritis Rheum_2025.md,/publication/2025 Aug-Heckert_SL_Semin Arthritis Rheum_2025,
pub_2025-aug-steinz-n-ann-rheum-dis-2025,rachel_knevel;tjardo_maarseveen;nils_steinz,Rachel Knevel;Tjardo Maarseveen;Nils Steinz,publication,Time-independent disease state identification defines distinct trajectories determined by localised vs systemic inflammation in patients with early rheumatoid arthritis,2025-08,2025 Aug,2025,Ann Rheum Dis,,author,,"Steinz N, Maarseveen TD, van den Akker EB, Cope AP, Isaacs JD, Winkler AR, Huizinga TWJ, Abraham Y, Knevel R. (2025) &quot;Time-independent disease state identification defines distinct trajectories determined by localised vs systemic inflammation in patients with early rheumatoid arthritis&quot; <i>Ann Rheum Dis. 2025 Aug;84(8):1301-1312. doi: 10.1016/j.ard.2025.04.011. Epub 2025 May 9.</i>",10.1016/j.ard.2025.04.011,https://doi.org/10.1016/j.ard.2025.04.011,,Patients with rheumatoid arthritis (RA) display different trajectories towards improvement of disease. We aimed to disentangle the heterogeneity of RA disease trajectories from the first clinical visit onwards using graph-based pseudotime analysis.,,public,,_publications/2025 Aug-Steinz_N_Ann Rheum Dis_2025.md,/publication/2025 Aug-Steinz_N_Ann Rheum Dis_2025,
pub_2025-feb-14-maarseveen-td-npj-digit-med-2025,rachel_knevel;tjardo_maarseveen,Rachel Knevel;Tjardo Maarseveen,publication,Improving musculoskeletal care with AI enhanced triage through data driven screening of referral letters,2025 Feb 14,2025 Feb 14,2025,NPJ Digit Med,,author,,"Maarseveen TD, Glas HK, Veris-van Dieren J, van den Akker E, Knevel R. (2025) &quot;Improving musculoskeletal care with AI enhanced triage through data driven screening of referral letters&quot; <i>NPJ Digit Med. 2025 Feb 14;8(1):98. doi: 10.1038/s41746-025-01495-4.</i>",10.1038/s41746-025-01495-4,https://doi.org/10.1038/s41746-025-01495-4,,"Musculoskeletal complaints account for 30% of GP consultations, with many referred to rheumatology clinics via letters. This study developed a Machine Learning (ML) pipeline to prioritize referrals by identifying rheumatoid arthritis (RA), osteoarthritis, fibromyalgia, and patients requiring long-term care. Using 8044 referral letters from 5728 patients across 12 clinics, we trained and validated ML models in two large centers and tested their generalizability in the remaining ten. The models were robust, with RA achieving an AUC-ROC of 0.78 (CI: 0.74-0.83), osteoarthritis 0.71 (CI: 0.67-0.74), fibromyalgia 0.81 (CI: 0.77-0.85), and chronic follow-up 0.63 (CI: 0.61-0.66). The RA-classifier outperformed manual referral systems, as it prioritised RA over non-RA cases (P&thinsp;<&thinsp;0.001), while the manual referral system could not differentiate between the two. The other classifiers showed similar prioritisation improvements, highlighting the potential to enhance care efficiency, reduce clinician workload, and facilitate earlier specialized care. Future work will focus on building clinical decision-support tools.",,public,,_publications/2025 Feb 14-Maarseveen_TD_NPJ Digit Med_2025.md,/publication/2025 Feb 14-Maarseveen_TD_NPJ Digit Med_2025,
pub_2025-jul-van-den-beukel-md-j-autoimmun-2025,rachel_knevel,Rachel Knevel,publication,Post-translationally modified proteins bind and activate complement with implications for cellular uptake and autoantibody formation,2025-07,2025 Jul,2025,J Autoimmun,,author,,"van den Beukel MD, Zhang L, van der Meulen S, Borggreven NV, Nugteren S, Brouwer MC, Pouw RB, Gelderman KA, de Ru AH, Janssen GMC, van Veelen PA, Knevel R, Parren PWHI, Trouw LA. (2025) &quot;Post-translationally modified proteins bind and activate complement with implications for cellular uptake and autoantibody formation&quot; <i>J Autoimmun. 2025 Jul;155:103444. doi: 10.1016/j.jaut.2025.103444. Epub 2025 Jun 23.</i>",10.1016/j.jaut.2025.103444,https://doi.org/10.1016/j.jaut.2025.103444,,"Autoimmune diseases, such as rheumatoid arthritis (RA), are characterized by the presence of autoantibodies including those targeting self-proteins modified by post-translational modifications (PTMs). The complement system is known for its role in innate immune defense, but also in clearing debris and induction of antibody responses. We therefore hypothesized that complement could directly bind to PTMs and target PTM-modified proteins for clearance, or stimulate (chronic) inflammation and development of anti-PTM autoimmunity.",,public,,_publications/2025 Jul-van_den_Beukel_MD_J Autoimmun_2025.md,/publication/2025 Jul-van_den_Beukel_MD_J Autoimmun_2025,
pub_2025-jun-13-van-mourik-ag-rmd-open-2025,rachel_knevel;marc_maurits,Rachel Knevel;Marc Maurits,publication,Autoantibody clusters in rheumatoid arthritis are not driven by antigen specificity or isotype,2025 Jun 13,2025 Jun 13,2025,RMD Open,,author,,"van Mourik AG, Johansson L, van Wesemael TJ, Maurits MP, Kokkonen H, R&ouml;nnelid J, Knevel R, Toes REM, Rantap&auml;&auml;-Dahlqvist S, van der Woude D. (2025) &quot;Autoantibody clusters in rheumatoid arthritis are not driven by antigen specificity or isotype&quot; <i>RMD Open. 2025 Jun 13;11(2):e005291. doi: 10.1136/rmdopen-2024-005291.</i>",10.1136/rmdopen-2024-005291,https://doi.org/10.1136/rmdopen-2024-005291,,"Autoantibodies are a key feature of rheumatoid arthritis (RA). They can be detected years before disease onset, but it is unknown if there is any pattern in the co-occurrence of antigen recognition or isotype profiles. A common signature could point to a unique initial trigger for autoantibody development. Therefore, we sought to determine if there is a pattern in antigen or isotype reactivity in pre-symptomatic cases and established RA.",,public,,_publications/2025 Jun 13-van_Mourik_AG_RMD Open_2025.md,/publication/2025 Jun 13-van_Mourik_AG_RMD Open_2025,
pub_2025-may-23-jakobi-s-bmc-rheumatol-2025,rachel_knevel,Rachel Knevel,publication,Rheumatic? A diagnostic decision support tool for individuals suspecting rheumatic diseases: Mixed-methods usability and acceptability study,2025 May 23,2025 May 23,2025,BMC Rheumatol,,author,,"Jakobi S, Boy K, Wagner M, May S, Temiz A, Liphardt AM, Araujo E, Carmona L, Knevel R, Schett G, Knitza J, Muehlensiepen F, Morf H. (2025) &quot;Rheumatic? A diagnostic decision support tool for individuals suspecting rheumatic diseases: Mixed-methods usability and acceptability study&quot; <i>BMC Rheumatol. 2025 May 23;9(1):59. doi: 10.1186/s41927-025-00507-w.</i>",10.1186/s41927-025-00507-w,https://doi.org/10.1186/s41927-025-00507-w,,"The early diagnosis of inflammatory rheumatic diseases (IRDs) is of paramount importance in order to prevent irreversible damage to joints and to optimize treatment outcomes. Nevertheless, conventional care pathways frequently entail diagnostic delays spanning several months. Symptom checkers (SCs) have the potential to provide a solution by offering validated symptom assessments, improving triage systems and expediting diagnostic evaluations. The objective of this mixed-methods study is to assess the usability and acceptability of the SC Rheumatic? among individuals with suspected rheumatic diseases.",,public,,_publications/2025 May 23-Jakobi_S_BMC Rheumatol_2025.md,/publication/2025 May 23-Jakobi_S_BMC Rheumatol_2025,
pub_2025-oct-23-maarseveen-td-npj-digit-med-2025,rachel_knevel;tjardo_maarseveen;nils_steinz;marc_maurits,Rachel Knevel;Tjardo Maarseveen;Nils Steinz;Marc Maurits,publication,Location and amount of joint involvement differentiates rheumatoid arthritis into different clinical subsets,2025 Oct 23,2025 Oct 23,2025,NPJ Digit Med,,author,,"Maarseveen TD, Maurits MP, Coletto LA, Perniola S, B&ouml;hringer S, Steinz N, Bergstra SA, Bruno D, Gigante MR, Pacucci VA, Petricca L, Boxma-de Klerk B, Glas HK, Di Mario C, Campobasso D, Tolusso B, Veris-van Dieren J, van der Helm-van Mil AHM, Gremese E, D'Agostino MA, Reinders MJT, Gessi M, Huizinga TWJ, Alivernini S, van den Akker EB, Knevel R. (2025) &quot;Location and amount of joint involvement differentiates rheumatoid arthritis into different clinical subsets&quot; <i>NPJ Digit Med. 2025 Oct 23;8(1):623. doi: 10.1038/s41746-025-01997-1.</i>",10.1038/s41746-025-01997-1,https://doi.org/10.1038/s41746-025-01997-1,,"Rheumatoid arthritis (RA) is a heterogeneous disease with variable symptoms, prognosis, and treatment response, necessitating refined patient classification. We applied multimodal deep learning and clustering to identify distinct RA phenotypes using baseline clinical data from 1,387 patients in the Leiden Rheumatology clinic. Four Joint Involvement Patterns (JIP) emerged: foot-predominant arthritis, seropositive oligoarticular disease, seronegative hand arthritis, and polyarthritis. Findings were validated in clinical trial data (n&thinsp;=&thinsp;307) and an independent secondary care cohort (n&thinsp;=&thinsp;515). Clusters showed high stability and significant differences in remission rates (P&thinsp;=&thinsp;0.007) and methotrexate failure (P&thinsp;<&thinsp;0.001). JIP-hand patients had superior outcomes (particularly in ACPA-positive patients) versus JIP-foot (HR:0.37, P&thinsp;<&thinsp;0.001) and JIP-poly (HR:0.33, P&thinsp;=&thinsp;0.005), independent of baseline disease activity and clinical markers. Synovial histology analysis (n&thinsp;=&thinsp;194) revealed distinct inflammatory patterns across clusters, hinting at different underlying biological mechanisms. These validated RA phenotypes based on joint involvement patterns may enable targeted research into disease mechanisms and personalized treatment strategies.",,public,,_publications/2025 Oct 23-Maarseveen_TD_NPJ Digit Med_2025.md,/publication/2025 Oct 23-Maarseveen_TD_NPJ Digit Med_2025,
pub_2025-sep-10-perez-sancristobal-i-rheumatol-adv-pract-2025,rachel_knevel;tjardo_maarseveen;nils_steinz;floor_dijkstra_zegers;in_s_p_rez_sancrist_bal;ling_qing,Rachel Knevel;Tjardo Maarseveen;Nils Steinz;Floor Dijkstra Zegers;Inés Pérez-Sancristóbal;Ling Qing,publication,Let's ask the patient: disease prediction based on patients' symptom descriptions in free text,2025 Sep 10,2025 Sep 10,2025,Rheumatol Adv Pract,,author,,"P&eacute;rez-Sancrist&oacute;bal I, Steinz N, Qin L, Maarseveen T, Zegers F, Bislawska Axn&auml;s B, Rodr&iacute;guez-Rodr&iacute;guez L, Knevel R. (2025) &quot;Let's ask the patient: disease prediction based on patients' symptom descriptions in free text&quot; <i>Rheumatol Adv Pract. 2025 Sep 10;9(4):rkaf103. doi: 10.1093/rap/rkaf103. eCollection 2025.</i>",10.1093/rap/rkaf103,https://doi.org/10.1093/rap/rkaf103,,"This study evaluates the value self-reported free-text symptom descriptions for supporting diagnostic decisions in osteoarthritis (OA), fibromyalgia (FM) and immune-mediated rheumatic diseases (imRD) using natural language processing (NLP) and machine learning (ML).",,public,,_publications/2025 Sep 10-Perez-Sancristobal_I_Rheumatol Adv Pract_2025.md,/publication/2025 Sep 10-Pérez-Sancristobal_I_Rheumatol Adv Pract_2025,
pub_2025-sep-sharma-sd-ann-rheum-dis-2025,rachel_knevel,Rachel Knevel,publication,Systematic review and independent validation of genetic factors of radiographic outcome in rheumatoid arthritis identifies a genome-wide association with CARD9,2025-09,2025 Sep,2025,Ann Rheum Dis,,author,,"Sharma SD, Hum RM, Nair N, Marshall L, Storrie A, Bowes J, MacGregor A, Yates M, Morris AP, Verstappen S, Barton A, van Steenbergen H, Knevel R, van der Helm-van Mil A, Viatte S. (2025) &quot;Systematic review and independent validation of genetic factors of radiographic outcome in rheumatoid arthritis identifies a genome-wide association with CARD9&quot; <i>Ann Rheum Dis. 2025 Sep;84(9):1469-1483. doi: 10.1016/j.ard.2025.04.007. Epub 2025 May 8.</i>",10.1016/j.ard.2025.04.007,https://doi.org/10.1016/j.ard.2025.04.007,,This study aimed to investigate non-HLA genetic mechanisms underlying radiographic severity in rheumatoid arthritis (RA).,,public,,_publications/2025 Sep-Sharma_SD_Ann Rheum Dis_2025.md,/publication/2025 Sep-Sharma_SD_Ann Rheum Dis_2025,
talk_2018-09-20-2018-rk-dgrh,rachel_knevel,Rachel Knevel,talk,DGRh Genetics,2018-09-20,2018-09-20,2018,DGRh 2018,"Mannheim, Germany",Oral Presentation by Rachel Knevel,,,,,,A presentation by Rachel Knevel about pharmacogenetics in rheumatic diseases,,public,,_talks/2018-09-20-2018_RK_DGRh.md,/talks/2018-09-20-2018_RK_DGRh,
talk_2019-04-02-2019-mpm-biosb,marc_maurits,Marc Maurits,talk,BioSB 2019 ICD Clustering,2019-04-02,2019-04-02,2019,BioSB 2019,"Lunteren, The Netherlands",Oral Presentation by Marc Maurits,,,,,,Oral presentation of the work performed by MP Maurits on clustering of patients using ICD codes,,public,,_talks/2019-04-02-2019_MPM_BioSB.md,/talks/2019-04-02-2019_MPM_BioSB,
talk_2019-06-12-2019-mpm-eular,marc_maurits,Marc Maurits,talk,EULAR 2019 ICD Clustering,2019-06-12,2019-06-12,2019,EULAR 2019,"Madrid, Spain",Abstract by Marc Maurits,,,,https://scientific.sparx-ip.net/archiveeular/?c=a&item=2019AB1282,,Accepted abstract of the work performed by MP Maurits on the clustering of patients using ICD codes,,public,,_talks/2019-06-12-2019_MPM_EULAR.md,/talks/2019-06-12-2019_MPM_EULAR,
talk_2019-06-12-2019-tdm-eular-1,tjardo_maarseveen,Tjardo Maarseveen,talk,EULAR 2019 Text Mining Dx,2019-06-12,2019-06-12,2019,EULAR 2019,"Madrid, Spain",Poster Tour by Tjardo Maarseveen,,,,http://scientific.sparx-ip.net/archiveeular/?c=a&item=2019SAT0590,,Poster tour presentation of the work performed by TD Maarseveen on the extraction of RA diagnoses from EHR free written text,,public,,_talks/2019-06-12-2019_TDM_EULAR_1.md,/talks/2019-06-12-2019_TDM_EULAR_1,
talk_2019-06-12-2019-tdm-eular-2,tjardo_maarseveen,Tjardo Maarseveen,talk,EULAR 2019 Text Mining Rx,2019-06-12,2019-06-12,2019,EULAR 2019,"Madrid, Spain",Poster Tour by Tjardo Maarseveen,,,,http://scientific.sparx-ip.net/archiveeular/?c=a&item=2019SAT0589,,Poster tour presentation of the work performed by TD Maarseveen on the extraction of medication from EHR free written text,,public,,_talks/2019-06-12-2019_TDM_EULAR_2.md,/talks/2019-06-12-2019_TDM_EULAR_2,
talk_2019-09-26-2019-rk-ifra,rachel_knevel,Rachel Knevel,talk,AMP-IMI-IFRA EHR Genetics,2019-09-26,2019-09-26,2019,AMP-IMI-IFRA 2019,"Wachington, USA",Oral Presentation by Rachel Knevel,,,,,,Oral presentation by Rachel Knevel about integrating electronic health record data and genetics to improve understanding of rheumatic diseases,,public,,_talks/2019-09-26-2019_RK_IFRA.md,/talks/2019-09-26-2019_RK_IFRA,
